Rank,Country,Continent,Population,Area,Density,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Ratio,Pollution Index,Climate Index,Corruption Perception Index
1,Luxembourg,Europe,647599,2586,250.425,207.3,148.9,65.6,76.3,65.3,9.1,26.1,21.8,82.6,81
2,Netherlands,Europe,17564014,41850,419.6897,198.5,103.3,73.7,78.9,64.3,7.4,23.7,21.8,87.1,82
3,Iceland,Europe,372899,103000,3.6204,194.9,109.1,74.6,67.1,85.7,5.6,21.9,15.8,68.8,76
4,Denmark,Europe,5882261,43094,136.4984,193.6,103.3,73.7,78,75.2,6.8,28.7,21.9,82.5,88
5,Finland,Europe,5540745,338424,16.3722,190.4,97.3,73.7,77.3,65.5,8.3,26,12,58.9,85
6,Oman,Asia,4576298,309500,14.7861,187,109.6,81,61,44.4,3.1,21.9,38.4,67.2,52
7,Switzerland,Europe,8740472,41284,211.7157,186.7,118.9,74.7,72.6,112.2,11.1,33.1,22.2,79.2,85
8,Norway,Europe,5434319,323802,16.7828,184.2,94.9,67.4,75.7,79.2,7.8,26.8,18.6,71.4,84
9,Austria,Europe,8939617,83871,106.5877,181.5,84.4,70.7,76.6,66.8,11,24.1,21.8,77.8,76
10,Estonia,Europe,1326062,45227,29.3201,180.1,69,76.2,76.3,53,10.2,21.8,16.7,64.3,73
11,Japan,Asia,123951692,377930,327.9753,177.6,99.5,77.4,79.3,50.7,10,40.2,38.6,84.8,73
12,Germany,Europe,83369843,357114,233.4544,176.5,101,61.1,71.7,62.7,9.8,30.3,29.2,82.7,80
13,Spain,Europe,47558630,505992,93.9909,176.5,78.2,63.8,77.6,48.4,7.4,26.4,35.6,94.4,58
14,Sweden,Europe,10549347,450295,23.4276,175,94.6,51.6,68.6,62.2,8.1,29.1,17.7,74,85
15,United States,North America,338289857,9372610,36.0935,174,120.9,50.7,67.6,72.9,4.1,33.8,37.1,78.9,71
16,Slovenia,Europe,2119844,20273,104.5649,173.4,68,75.8,66.5,49.3,11.2,25.2,22.4,76.1,60
17,New Zealand,Oceania,5185288,270467,19.1716,168.4,93,52.3,67.7,68.2,10.5,35.6,28.1,95.5,87
18,Qatar,Asia,2695122,11586,232.6189,165.9,127.4,84,72.3,55,6.7,31,60.5,36,62
19,Lithuania,Europe,2750055,65300,42.1142,165,61.8,67.2,74.4,48.4,11.1,23.8,26.9,67.8,59
20,Portugal,Europe,10270865,92090,111.5307,164.1,46.5,68.8,72.7,46.6,12.6,27.9,28.7,97.3,64
21,Croatia,Europe,4030358,56594,71.2153,164,58,74,65.1,46.9,13.4,26,31.3,89,48
22,Australia,Oceania,26177413,7692024,3.4032,163.8,93.6,52.9,69.8,72.8,11,42.8,29.4,93.8,77
23,Czech Republic,Europe,10493986,78865,133.0627,163.6,64.9,73.2,75.5,48.6,12.9,29.2,34.8,79.1,56
24,United Arab Emirates,Asia,9441129,83600,112.9322,163.2,98.7,84.4,69.2,57.8,4.2,37.4,49,45.8,70
25,Singapore,Asia,5975689,710,8416.4634,160.9,103,76.5,70.6,81.9,14.9,41.4,33.3,57.5,85
26,United Kingdom,Europe,67508936,242900,277.9289,160.3,90.1,52.6,73.5,63.7,9.9,34.6,40.5,87.7,80
27,Belgium,Europe,11655930,30528,381.8111,156.5,90.7,50.8,75.3,63,6.8,35.5,49.7,86,75
28,Saudi Arabia,Asia,36408820,2149690,16.9368,155.1,105.1,73.1,60.4,47.4,3.2,30.9,64.1,55.3,49
29,Ireland,Europe,5023109,70273,71.4799,153.9,82,53.5,51.8,66.5,7.5,37.8,34.2,88.6,73
30,Taiwan,Asia,23893394,36193,660.1662,152.9,80,83.3,86,49,19.5,31.6,63.9,83,63
31,Latvia,Europe,1850651,64559,28.666,152.5,51.9,62.6,62.6,51.4,9.4,29,30.8,74.7,58
32,France,Europe,64626628,551695,117.1419,152,83.4,44.7,78.1,66,12.3,34.8,43.4,90.6,72
33,Canada,North America,38454327,9984670,3.8513,150.2,83.3,54.8,69.1,68.4,11,34.6,30.2,51.4,81
34,Israel,Asia,9038309,20770,435.1617,148.9,79.5,67.6,73.5,67.2,14.2,36.8,57,93.8,61
35,Slovakia,Europe,5643453,49037,115.0856,148.7,55.8,68.9,59.2,47.9,14.5,27.4,37.2,78.1,50
36,Cyprus,Europe,1251488,9251,135.2814,148.3,59.4,67.6,57.2,57.1,8.1,23.4,56.4,92.8,59
37,South Korea,Asia,51815810,100210,517.0722,142.3,90.6,75.1,82.7,64.4,19.9,40.4,61.4,68.4,57
38,Kuwait,Asia,4268873,17818,239.5821,140.1,128.5,67.2,57.9,43.4,7.7,35,68,20.2,41
39,South Africa,Africa,59893885,1221037,49.0517,139.9,84.7,24.6,64,33.8,3.3,38.7,56.3,95.3,43
40,Italy,Europe,59037474,301336,195.9191,139.1,62.8,52.7,65.6,58.9,10.7,32.8,54,91.1,52
41,Uruguay,South America,3422794,181034,18.9069,139.1,47,47.8,68.4,55.3,10.3,37.8,43.4,98,70
42,Poland,Europe,39857145,312679,127.4698,137.4,66.2,69.3,55.4,41.9,12.2,32.9,57.5,75.9,60
43,Bulgaria,Europe,6781953,110879,61.1654,133.5,52.6,62.9,57.2,38.7,8.9,29.1,63.3,82.8,42
44,Hungary,Europe,9967308,93028,107.1431,133.2,49.8,66.3,54,43.4,13.8,35.8,48,79.5,46
45,Romania,Europe,19659267,238391,82.4665,129.2,48.4,66.3,56.3,38.8,11,33.3,58.9,74.9,47
46,Bosnia And Herzegovina,Europe,3233526,51209,63.1437,127.8,47.1,59.1,55.7,34.7,12.5,26.6,60.5,80.5,38
47,Greece,Europe,10384971,131990,78.68,127.2,42.1,53.3,57.3,54.2,13.6,33.6,52,93.8,45
48,Malaysia,Asia,33938221,330803,102.5934,125.8,62.1,49.3,70.1,30.5,8.5,37.1,61.4,57.9,47
49,Malta,Europe,533286,316,1687.6139,124.8,58.3,58.8,52.3,55.1,11.4,28.2,75.4,97.4,54
50,Mexico,North America,127504125,1964375,64.9082,123.9,38,46.2,72.5,43.8,10.7,39.2,58.1,90,28
51,Turkey,Asia,85341241,783562,108.9145,123.6,39.3,59.1,70.7,33.8,12.5,44.1,64.7,93.3,41
52,Hong Kong,Asia,7488865,1104,6783.3922,121.9,84.1,78.2,65.8,71.5,32.1,42.4,66.9,83.6,76
53,Ecuador,South America,18001000,276841,65.0229,121.2,36.4,37.9,67.6,33.6,11.3,37.2,58.6,99,34
54,Belarus,Europe,9534954,207600,45.9295,119.3,39.6,49.2,48,27.1,13.7,30.8,44.9,64.4,44
55,Panama,North America,4408581,75417,58.4561,117.8,34.7,55.7,60.1,47.4,11.1,35.1,55.8,67.8,37
56,Georgia,Asia,3744385,69700,53.7214,117.6,27.9,73.9,54.5,37.2,13,38.9,68.4,88.5,58
57,Jordan,Asia,11285869,89342,126.3221,117,36.4,59.6,65,43,7.5,40.6,76.4,89,49
58,Serbia,Europe,7221365,88361,81.7257,115.9,39.6,61.7,52.1,38.3,16.8,30.9,65,83.2,39
59,Argentina,South America,45510318,2780400,16.3683,112.1,35.8,35.8,68.1,27.8,21.1,44.2,51.1,98.3,40
60,India,Asia,1417173173,3287590,431.0675,111.8,60.7,55.7,64.9,22.2,13.3,46.8,72.8,63.3,41
61,China,Asia,1425887337,9706961,146.8933,110.9,60.5,75.1,68.1,34.1,29.6,39,78.2,79.7,39
62,Azerbaijan,Asia,10358074,86600,119.6082,109.8,29.4,68.4,47.7,31.1,14.4,39.1,73.1,91.4,25
63,Brazil,South America,215313498,8515767,25.2841,109.1,30.1,34.4,58.9,35.2,16.5,40.6,52.6,95.1,35
64,North Macedonia,Europe,2093599,25713,81.4218,108,37,59,55.1,34.1,14.8,24.9,79.6,76.3,37
65,Ukraine,Europe,39701739,603500,65.7858,107.2,32.2,53.1,55.4,28.6,15,37.7,61.8,70.7,32
66,Russia,Europe,144713314,17098242,8.4636,106.1,41.5,60.9,60.9,29.5,16.1,43.2,59.6,45.1,28
67,Kenya,Africa,54027487,580367,93.0919,105.3,30.6,43.6,61.1,24.8,12.1,51.2,69.3,99.8,27
68,Pakistan,Asia,235824862,881912,267.4018,104,24.5,56.8,59.8,18.5,12.5,38.2,72.9,71.9,33
69,Morocco,Africa,37457971,446550,83.883,103.2,30.4,53.5,45.1,29.9,15.9,36.1,69.6,88.5,43
70,Colombia,South America,51874024,1141748,45.4339,102.9,28.1,38.8,68.3,30.6,18.7,47.3,62.8,96.7,36
71,Albania,Europe,2842321,28748,98.8702,100.5,31.6,54.4,49.5,40.8,14.1,36.7,77,86.4,36
72,Chile,South America,19603733,756102,25.9274,99.3,36.4,40.7,63.4,39.9,17.5,36.2,77.1,90.2,67
73,Kazakhstan,Asia,19397998,2724900,7.1188,98.4,36.8,54.1,60.1,33.5,10.4,35.8,73.6,39.8,31
74,Thailand,Asia,71697030,513120,139.7276,97.7,32.9,62.1,77.2,36,26.5,39,75.5,67.6,36
75,Indonesia,Asia,275501339,1904569,144.6529,94.8,25.8,53.9,60.8,28.5,18.9,43,67.4,64,38
76,Vietnam,Asia,98186856,331212,296.4472,92.7,32.5,57.8,60.8,30.8,23.7,29.1,83.8,71.2,33
77,Philippines,Asia,115559009,342353,337.5434,85.9,25.9,57.2,67.4,33.6,27,43.1,72.5,60.8,36
78,Egypt,Africa,110990103,1002450,110.7188,83.8,15.2,52.7,47.5,29.1,16.2,48.1,82.8,92,35
79,Lebanon,Asia,5489739,10452,525.2334,81.3,20.7,53.6,63.5,46.3,27.4,38.2,89.4,94.7,28
80,Peru,South America,34049588,1285216,26.4933,80.5,27.3,32.2,56.4,30.9,18.9,49.1,82.7,97.7,35
81,Iran,Asia,88550570,1648195,53.7258,77.7,21.2,50.5,53,26.9,22.4,46.8,74.8,63.4,28
82,Venezuela,South America,28301696,916445,30.882,77.3,12.6,18.8,38.7,39.4,15.2,32.8,75.6,99.9,18
83,Sri Lanka,Asia,21832143,65610,332.7563,76.9,14.4,57.9,71.1,33.2,36,54.8,58.8,59.1,38
84,Bangladesh,Asia,171186372,147570,1160.035,69.1,25.8,38.5,42.3,24.9,12.7,57.7,85.6,71.3,26
85,Nigeria,Africa,218541212,923768,236.5759,47.1,9.4,33.8,48.7,19.3,21.1,63.3,87.9,60.8,27